date,hourly_period,hourly_period_rank,number_of_patients
2020-01-18,6-12,4,2
2020-01-18,8-10,5,5
2020-01-18,10-12,6,12
2020-01-18,12-14,7,6
2020-01-18,14-16,8,19
2020-01-18,16-18,9,6
2020-01-18,18-20,10,6
2020-01-18,20-22,11,1
2020-01-18,22-0,12,6
2020-01-19,0-2,1,3
2020-01-19,2-4,2,3
2020-01-19,6-12,4,3
2020-01-19,8-10,5,2
2020-01-19,10-12,6,9
2020-01-19,12-14,7,6
2020-01-19,14-16,8,9
2020-01-19,16-18,9,10
2020-01-19,18-20,10,9
2020-01-19,20-22,11,2
2020-01-20,0-2,1,1
2020-01-20,2-4,2,9
2020-01-20,4-6,3,1
2020-01-20,6-12,4,1
2020-01-20,8-10,5,3
2020-01-20,10-12,6,18
2020-01-20,12-14,7,11
2020-01-20,14-16,8,11
2020-01-20,16-18,9,14
2020-01-20,18-20,10,14
2020-01-20,20-22,11,2
2020-01-20,22-0,12,6
2020-01-21,0-2,1,4
2020-01-21,2-4,2,1
2020-01-21,4-6,3,3
2020-01-21,6-12,4,8
2020-01-21,8-10,5,4
2020-01-21,10-12,6,10
2020-01-21,12-14,7,9
2020-01-21,14-16,8,12
2020-01-21,16-18,9,4
2020-01-21,18-20,10,1
2020-01-21,22-0,12,8
2020-01-22,0-2,1,4
2020-01-22,2-4,2,1
2020-01-22,4-6,3,2
2020-01-22,6-12,4,1
2020-01-22,8-10,5,7
2020-01-22,10-12,6,6
2020-01-22,12-14,7,2
2020-01-22,14-16,8,5
2020-01-22,16-18,9,7
2020-01-22,18-20,10,4
2020-01-22,20-22,11,4
2020-01-22,22-0,12,8
2020-01-23,4-6,3,1
2020-01-23,6-12,4,2
2020-01-23,8-10,5,2
2020-01-23,10-12,6,11
2020-01-23,12-14,7,17
2020-01-23,14-16,8,12
2020-01-23,16-18,9,15
2020-01-23,18-20,10,9
2020-01-23,20-22,11,3
2020-01-23,22-0,12,8
2020-01-24,0-2,1,5
2020-01-24,4-6,3,2
